20150426,9,13,17,11,white,7,32,0,118
20150217,6,13,16,10,white,1,27,6,99
20150121,6,14,11,18,white,1,23,1,108
20150514,9,18,18,18,red,8,37,1,107
20150218,5,12,16,10,yellow,4,22,1,89
20150215,4,11,11,12,yellow,3,26,-1,93
20150529,5,10,18,14,white,7,30,0,104
20150128,7,14,18,18,yellow,3,22,0,77
20150225,5,19,12,17,black,5,30,-1,52
20150326,8,17,19,13,red,4,32,5,116
20150519,4,10,14,10,white,3,22,3,91
20150517,4,19,17,11,white,5,21,1,84
20150315,2,11,15,14,white,6,22,7,117
20150119,6,18,10,10,red,4,34,2,54
20150224,6,17,19,11,yellow,6,29,3,92
20150213,8,12,18,13,red,1,36,1,104
20150329,8,19,17,19,red,1,33,2,98
20150211,9,12,12,13,red,5,37,1,81
20150627,8,16,15,12,yellow,2,30,1,84
20150215,8,10,14,10,black,3,30,5,110
20150515,6,11,17,12,red,1,39,8,68
20150511,9,13,19,16,white,1,39,6,52
20150518,4,12,16,16,yellow,5,37,3,118
20150113,4,16,12,19,yellow,7,24,6,65
20150329,7,14,15,18,red,3,24,5,68
20150526,6,10,17,11,yellow,3,31,3,67
20150222,7,19,19,13,yellow,2,28,8,97
20150114,9,18,18,15,black,3,22,7,100
20150227,8,16,14,11,white,2,20,0,83
20150618,8,12,11,13,black,5,29,6,54
20150313,8,14,11,10,yellow,5,21,7,64
20150126,4,15,15,11,black,8,25,8,107
20150419,9,16,17,19,black,8,38,8,106
20150228,7,10,18,12,red,8,26,8,119
20150227,9,17,13,15,white,2,26,2,113
20150520,2,18,12,14,black,5,25,-1,75
20150623,3,19,10,14,red,1,23,0,53
20150220,3,19,12,14,yellow,6,27,4,117
20150522,3,15,13,10,white,2,31,2,81
20150516,8,10,18,19,white,3,22,6,110
20150429,6,10,19,11,yellow,1,32,5,88
20150414,2,18,14,11,black,1,22,-1,54
20150614,8,12,10,19,red,2,33,5,82
20150426,5,13,18,19,yellow,4,27,-1,64
20150523,8,12,12,13,black,8,20,4,64
20150329,2,10,11,19,white,8,23,2,117
20150215,7,13,19,11,white,3,23,8,87
20150628,3,14,19,14,yellow,2,29,-1,80
20150524,3,13,13,10,yellow,1,34,1,110
20150519,2,19,12,17,yellow,3,29,6,60
20150317,5,11,15,17,white,4,32,-1,105
20150411,2,13,14,19,white,1,33,7,50
20150313,2,16,16,18,red,2,33,8,82
20150417,3,14,14,11,yellow,7,20,7,92
20150222,9,19,16,14,yellow,5,28,0,113
20150623,2,19,10,12,yellow,2,31,7,99
20150619,8,14,12,15,red,6,39,4,114
20150528,5,14,18,18,white,6,31,5,97
20150217,7,10,12,13,black,3,29,5,68
20150614,6,16,16,11,white,3,23,6,69
20150428,2,10,14,14,white,2,32,4,108
20150114,9,10,15,19,black,3,33,0,105
20150216,7,17,15,11,white,4,38,4,109
20150423,2,19,16,14,yellow,6,22,5,112
20150229,7,13,11,15,white,8,39,-1,75
20150621,8,16,17,16,white,6,24,1,100
20150211,3,17,14,16,black,2,33,-1,112
20150418,8,16,15,15,yellow,5,26,5,85
20150317,8,14,19,14,yellow,8,23,5,111
20150317,4,10,11,13,white,4,29,8,86
20150128,4,13,14,12,yellow,8,23,2,71
20150618,5,18,12,17,red,7,36,7,74
20150513,8,15,16,11,black,3,33,0,81
20150514,9,15,18,18,red,8,31,5,111
20150414,3,12,15,15,red,5,28,6,71
20150510,7,15,12,17,white,5,23,-1,116
20150325,8,17,11,11,yellow,8,31,3,92
20150212,7,17,14,15,white,2,22,5,93
