20140101,1,1,2014
20140102,1,1,2014
20140103,1,1,2014
20140104,1,1,2014
20140105,1,1,2014
20140106,1,1,2014
20140107,1,1,2014
20140108,2,1,2014
20140109,2,1,2014
20140110,2,1,2014
20140111,2,1,2014
20140112,2,1,2014
20140113,2,1,2014
20140114,2,1,2014
20140115,3,1,2014
20140116,3,1,2014
20140117,3,1,2014
20140118,3,1,2014
20140119,3,1,2014
20140120,3,1,2014
20140121,3,1,2014
20140122,4,1,2014
20140123,4,1,2014
20140124,4,1,2014
20140125,4,1,2014
20140126,4,1,2014
20140127,4,1,2014
20140128,4,1,2014
20140129,1,2,2014
20140130,1,2,2014
